"difference_type","surface_term","side","token_position","char_start","char_end","snippet","structural_identifier"
"evaluated_only","allowed","evaluated","984","5716","5723","ain: (A) A description, including at least one example, of the types of uses and disclosures that the covered entity is allowed by this subpart to make for each of the following purposes: treat- ment,...","222b5717d30c3f65795aac72a10882f1ee7cc52a5b256171479e63e0566b209b"
"shared_count_delta","B","evaluated","98","583","584","on, presentation of an agency identifica- tion badge, other official credentials, or other proof of government status; (B) If the request is in writing, the request is on the appropriate govern- ment ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","263","1568","1569","ormation is requested, or, if a written statement would be impracticable, an oral state- ment of such legal authority; (B) If a request is made pursuant to legal process, warrant, subpoena, order, or ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","589","3397","3398","ive health benefits under the group health plan through an insurance contract with a health insur- ance issuer or HMO; (B) From the health insurance issuer or HMO with respect to the group health plan...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","704","4070","4071","rolled from a health insurance issuer or HMO offered by the plan, must: (A) Maintain a notice under this sec- tion; or (B) Provide such notice upon request to any person. The provisions of para- graph...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1004","5837","5838","llowed by this subpart to make for each of the following purposes: treat- ment, payment, and health care oper- ations. (B) A description of each of the other purposes for which the covered entity is p...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","1057","6139","6140","ividual’s written authorization. (C) If a use or disclosure for any pur- pose described in paragraphs (b)(1)(ii)(A) or (B) of this section is pro- hibited or materially limited by other applicable law...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1112","6432","6433","ringent law as defined in § 160.202 of this sub- chapter. (D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the ...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1341","7760","7761","ntity intends to engage in any of the fol- lowing activities, the description re- quired by paragraph (b)(1)(ii)(A) or (B) of this section must include a separate statement informing the individual of...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1395","8078","8079","al to raise funds for the covered entity and the individual has a right to opt out of receiving such communica- tions; (B) In accordance with § 164.504(f), the group health plan, or a health insur- an...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
