form_id,side,doc_hash,token_position,char_start,char_end,snippet_status,snippet_error_code,snippet_start,snippet_end,snippet_text,snippet_preview_single_line,form_reference_count,form_evaluated_count,witness_ordinal_in_form
2cb0ebf63bd85d8a95faa700c0caa3737f037c599f10074e067811b51f77d4de,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,0,0,4,present,,0,124,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(,1,1,0
2cb0ebf63bd85d8a95faa700c0caa3737f037c599f10074e067811b51f77d4de,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,0,0,4,present,,0,124,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(,1,1,0
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2,9,15,present,,0,135,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v).,3,3,0
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1472,8494,8500,present,,8374,8620,"care policy falling within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered ent","care policy falling within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered ent",3,3,1
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2928,16929,16935,present,,16809,17055,"A) Have the notice available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect i",A) Have the notice available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect i,3,3,2
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,2,9,15,present,,0,135,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v).,3,3,0
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,1470,8488,8494,present,,8368,8614,"care policy falling within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered ent","care policy falling within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered ent",3,3,1
67ace6e1dfa10152612199099c475ac6c95ac9121dd9bc3c0e1439ce92feffdf,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,2926,16923,16929,present,,16803,17049,"A) Have the notice available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect i",A) Have the notice available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect i,3,3,2
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,4,20,25,present,,0,145,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Iden",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Iden,3,3,0
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1474,8505,8510,present,,8385,8630," falling within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered entity is pro"," falling within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered entity is pro",3,3,1
